owner,family,generated,Syncs,intensity,codes,Lagged,pattern_names,names
01-ai,01-ai_YI,manual,CS,F,CSF,No Lag,Frequent Alignment Pattern,Frequent Alignment
1-800-BAD-CODE,1-800-BAD-CODE_XLM-ROBERTA,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
1bitLLM,1bitLLM_BITNET,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
ai-forever,ai-forever_gpt,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
ai-forever,ai-forever_sbert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
alisawuffles,alisawuffles_roberta,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
allenai,allenai_unifiedqa,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
almanach,almanach_camembert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
amberoad,amberoad_bert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
AnnaWegmann,AnnaWegmann_Style-Embedding,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
apple,apple_OpenELM,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
aubmindlab,aubmindlab_bert,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
BAAI,BAAI_bge,manual,CS,F,CSF,No Lag,Frequent Alignment Pattern,Frequent Alignment
Babelscape,Babelscape_rebel,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
Babelscape,Babelscape_wikineural,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
baichuan-inc,baichuan-inc_Baichuan,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
batterydata,batterydata_batterybert,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
bayartsogt,bayartsogt_albert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
benjamin,benjamin_segment,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
bhadresh-savani,bhadresh-savani,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
bigcode,bigcode_gpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
bigcode,bigcode_starcoder,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
bigscience,bigscience_workshop,manual,PS,F,PSF,Upstream First,Dense Partial Alignment Pattern,Dense Partial Alignment
bmd1905,bmd1905_vietnamese-correction,manual,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
cahya,cahya_bert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
cais,cais_HarmBench,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
castorini,castorini_msmarco,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
CohereForAI,CohereForAI_aya,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
cointegrated,cointegrated_rubert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
colorfulscoop,colorfulscoop_sbert,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
cross-encoder,cross-encoder_embedding,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
csebuetnlp,csebuetnlp_banglat5,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
dandelin,dandelin_vilt,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
databricks,databricks_dbrx,manual,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
Davlan,Davlan_multilingual,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
dbmdz,dbmdz_bert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
dccuchile,dccuchile_bert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
DeepMount00,DeepMount00_Llama,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
DeepPavlov,DeepPavlov_rubert,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
deepset,deepset_haystack,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
defog,defog_sql-eval,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
DMetaSoul,DMetaSoul_Dmeta,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
dslim,dslim_bert,manual,VS,S,VSS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
DTAI-KULeuven,DTAI-KULeuven_robbert,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
edumunozsala,edumunozsala_roberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
Efficient-Large-Model,Efficient-Large-Model_VILA,manual,PS,R,PSR,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
EleutherAI,EleutherAI_gpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
EleutherAI,EleutherAI_pythia,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Elron,Elron_bleurt,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
EmbeddedLLM,EmbeddedLLM_bge,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
EmergentMethods,EmergentMethods_gliner,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
emrecan,emrecan_bert,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
eugenesiow,eugenesiow_bart-paraphrase,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_bart,manual,VS,S,VSS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
facebook,facebook_blenderbot,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_dpr,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_encodec,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_esm2,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
facebook,facebook_galactica,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_hubert,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
facebook,facebook_mbart,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_nllb,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_opt,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_roberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_xlm,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
FacebookAI,FacebookAI_XLM,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
finiteautomata,finiteautomata_sentiment,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
flair,flair_ner,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
fxmarty,fxmarty_tinymodel,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_bigbird,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_canine,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_multilingual,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_muril,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
google-t5,google_t5transformer,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
GroNLP,GroNLP_gpt,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
gsarti,gsarti_biobert,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
h2oai,h2oai_h2o,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
h2oai,h2oai_h2ogpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
