owner,family,early_lagged,late_lagged,early_sync,late_sync,early_intensity,late_intensity,early_codes,late_codes,early_pattern,late_pattern,model_name
01-ai,01-ai_YI,No Lag,No Lag,CS,CS,F,S,CSF,CSS,Frequent Alignment Pattern,Intermittent Alignment Pattern,9
1-800-BAD-CODE,1-800-BAD-CODE_XLM-ROBERTA,Upstream First,Downstream First,AS,AS,R,S,ASR,ASS,Rare disjoint pattern,Sporadic Disjoint Pattern,1
42dot,42dot_42DOT-LLM,No Lag,Upstream First,PS,AS,R,R,PSR,ASR,Sparse Alignment Pattern,Rare disjoint pattern,1
af1tang,af1tang_PERSONALGPT,Upstream First,Upstream First,AS,AS,R,R,ASR,ASR,Rare disjoint pattern,Rare disjoint pattern,1
ai-forever,ai-forever_gpt,No Lag,Upstream First,PS,PS,S,R,PSS,PSR,Dispersed Alignment Pattern,Sparse Alignment Pattern,5
ai-forever,ai-forever_sbert,Upstream First,Upstream First,AS,AS,S,S,ASS,ASS,Sporadic Disjoint Pattern,Sporadic Disjoint Pattern,1
akdeniz27,akdeniz27_bert,Downstream First,Downstream First,AS,PS,R,S,ASR,PSS,Rare disjoint pattern,Dispersed Alignment Pattern,1
albert,albert_albert,Upstream First,Upstream First,PS,PS,S,S,PSS,PSS,Dispersed Alignment Pattern,Dispersed Alignment Pattern,4
alisawuffles,alisawuffles_roberta,Downstream First,Downstream First,AS,AS,R,S,ASR,ASS,Rare disjoint pattern,Sporadic Disjoint Pattern,1
allenai,allenai_allenai,Downstream First,Downstream First,AS,AS,R,R,ASR,ASR,Rare disjoint pattern,Rare disjoint pattern,3
allenai,allenai_OLMo,Upstream First,Upstream First,AS,CS,R,S,ASR,CSS,Rare disjoint pattern,Intermittent Alignment Pattern,3
allenai,allenai_specter2,Upstream First,Upstream First,AS,AS,S,S,ASS,ASS,Sporadic Disjoint Pattern,Sporadic Disjoint Pattern,2
allenai,allenai_unifiedqa,Upstream First,Upstream First,PS,AS,R,S,PSR,ASS,Sparse Alignment Pattern,Sporadic Disjoint Pattern,4
AnnaWegmann,AnnaWegmann_Style-Embedding,Upstream First,Upstream First,PS,AS,R,R,PSR,ASR,Sparse Alignment Pattern,Rare disjoint pattern,1
apple,apple_OpenELM,No Lag,No Lag,CS,PS,R,R,CSR,PSR,Rare Alignment Pattern,Sparse Alignment Pattern,1
asapp,asapp_sew,Upstream First,Upstream First,AS,PS,R,R,ASR,PSR,Rare disjoint pattern,Sparse Alignment Pattern,2
aubmindlab,aubmindlab_bert,No Lag,Upstream First,PS,PS,S,S,PSS,PSS,Dispersed Alignment Pattern,Dispersed Alignment Pattern,2
augmxnt,augmxnt_shisa,Upstream First,Upstream First,AS,AS,R,R,ASR,ASR,Rare disjoint pattern,Rare disjoint pattern,1
avichr,avichr_heBERT,No Lag,No Lag,CS,PS,R,S,CSR,PSS,Rare Alignment Pattern,Dispersed Alignment Pattern,1
avsolatorio,avsolatorio_GIST,No Lag,Downstream First,CS,PS,R,R,CSR,PSR,Rare Alignment Pattern,Sparse Alignment Pattern,4
BAAI,BAAI_bge,No Lag,Downstream First,CS,PS,F,S,CSF,PSS,Frequent Alignment Pattern,Dispersed Alignment Pattern,15
Babelscape,Babelscape_rebel,Downstream First,Downstream First,AS,AS,R,S,ASR,ASS,Rare disjoint pattern,Sporadic Disjoint Pattern,1
Babelscape,Babelscape_wikineural,Upstream First,No Lag,AS,PS,R,S,ASR,PSS,Rare disjoint pattern,Dispersed Alignment Pattern,1
baichuan-inc,baichuan-inc_Baichuan,Downstream First,Downstream First,AS,PS,R,S,ASR,PSS,Rare disjoint pattern,Dispersed Alignment Pattern,2
basel,basel_ATTACK-BERT,No Lag,Downstream First,CS,AS,R,R,CSR,ASR,Rare Alignment Pattern,Rare disjoint pattern,1
