Family,Similarity Score
EleutherAI_llemma,0.5714285714285714
asapp_sew,0.3333333333333333
bergum_xtremedistil,0.375
batterydata_batterybert,0.3
nbroad_ESG-BERT,0.6666666666666666
MLP-KTLim_Bllossom,0.4
Snowflake_snowflake,0.3076923076923077
google_gemma,0.5333333333333333
google_switch,0.4166666666666667
microsoft_unixcoder,0.36363636363636365
Qwen_Qwen2,0.5454545454545454
finiteautomata_sentiment,0.5333333333333333
princeton-nlp_Sheared,0.3333333333333333
NousResearch_subnet,0.38461538461538464
tomaarsen_span-marker,0.38461538461538464
ckiplab_chinese-model,0.45454545454545453
snrspeaks_KeyPhraseTransformer,0.25
microsoft_infoxlm,0.13333333333333333
facebook_blenderbot,0.4
SCUT-DLVCLab_lilt-roberta,0.75
openchat_openchat,0.5
rinna_japanese-gpt,0.3333333333333333
MBZUAI_LaMini,0.3
emrecan_bert,0.23076923076923078
uw-madison_mra-model,0.3333333333333333
DeepPavlov_rubert,0.4
klue_bert,0.25
microsoft_BiomedVLP,0.3333333333333333
tohoku-nlp_japanese_bert,0.42857142857142855
indolem_indobert,0.4
google_flan,0.6666666666666666
LanguageBind_LLaVA,0.2727272727272727
mlabonne_NeuralMonarch,0.35714285714285715
m-a-p_OpenCodeInterpreter,0.25
jackhhao_jailbreak,0.42857142857142855
Elron_bleurt,0.5
google_pegasus,0.25
bigcode_gpt,0.4666666666666667
Helsinki-NLP_romance,0.38461538461538464
allenai_allenai,0.4
bigcode_starcoder,0.5
cointegrated_rubert,0.4
HooshvareLab_parsbert,0.375
ProsusAI_finbert,0.4
oliverguhr_fullstop,0.5714285714285714
elastic_distilbert,0.4
hfl_chinese-model,0.6
PlanTL-GOB-ES_roberta,0.2857142857142857
davebulaval_MeaningBERT,0.2857142857142857
orgcatorg_xlm-v,0.2222222222222222
distilbert_distilbert,0.8
kuelumbus_polyBERT,0.5
wonrax_phobert,0.5
SeaLLMs_SeaLLM,0.2727272727272727
tuner007_pegasus_paraphrase,0.4
nghuyong_ernie,0.625
ivanlau_language-detection,0.6666666666666666
Babelscape_wikineural,0.4
EleutherAI_gpt,0.4
prithivida_grammar,0.375
deepset_haystack,0.6666666666666666
dmis-lab_biobert,0.45454545454545453
TurkuNLP_bert,0.42857142857142855
stabilityai_japanese-stablelm,0.375
facebook_dragon,1.0
protectai_llm-guard,0.26666666666666666
laion_clap,0.26666666666666666
HuggingFaceFW_fineweb,0.4
CAMeL-Lab_bert,0.3333333333333333
openai-community_openai,0.5
aubmindlab_bert,0.46153846153846156
upskyy_kf-deberta,0.2
m3hrdadfi_typo-detector,0.3333333333333333
openai-community_roberta,0.625
pdelobelle_robbert-v2,0.5384615384615384
TinyLlama_TinyLlama,0.5833333333333334
facebook_opt,0.5333333333333333
intfloat_multilingual,0.5
bhadresh-savani,0.3333333333333333
bigscience_workshop,0.8666666666666667
microsoft_Orca,0.18181818181818182
Qwen_Qwen1,0.5454545454545454
yangheng_absa-model,0.16666666666666666
neuralmagic_bge,0.26666666666666666
obi_deid_roberta,0.5
basel_ATTACK-BERT,0.25
DMetaSoul_Dmeta,0.2727272727272727
Davlan_multilingual,0.4
bmd1905_vietnamese-correction,0.36363636363636365
gsarti_biobert,0.5
Supabase_gte,0.2
stanfordnlp_stanza,0.2
