family,authors_GH,authors_HF,common_authors,common_authors_count
01-ai_YI,"['https://github.com/renxiaoyi', 'https://github.com/kai01ai', 'https://github.com/mayankdebnath', 'https://github.com/windsonsea', 'https://github.com/github-actions[bot]', 'https://github.com/fecet', 'https://github.com/hardy4yooz', 'https://github.com/richardllin', 'https://github.com/forpanyang', 'https://github.com/MileyFu', 'https://github.com/statelesshz', 'https://github.com/yudongliu97', 'https://github.com/alabulei1', 'https://github.com/shiyue-loop', 'https://github.com/Naozumi520', 'https://github.com/GloriaLee01', 'https://github.com/Mia-xia', 'https://github.com/Jintao-Huang', 'https://github.com/tdolan21', 'https://github.com/tpoisonooo', 'https://github.com/jiangchengSilent', 'https://github.com/xffxff', 'https://github.com/nlmlml', 'https://github.com/markli404', 'https://github.com/cArlIcon', 'https://github.com/loofahcus', 'https://github.com/Jack-devnlp', 'https://github.com/202000000000', 'https://github.com/angeligareta', 'https://github.com/Unknown', 'https://github.com/zjrwtx', 'https://github.com/eltociear', 'https://github.com/petter529', 'https://github.com/soulteary', 'https://github.com/Yimi81', 'https://github.com/findmyway', 'https://github.com/hiyouga', 'https://github.com/WayTooWill', 'https://github.com/Gmgge', 'https://github.com/Haijian06', 'https://github.com/pitaokkk', 'https://github.com/0x1111', 'https://github.com/ZhaoFancy', 'https://github.com/Anonymitaet', 'https://github.com/arkohut', 'https://github.com/cvyl']","['https://github.com/ZhaoFancy', 'https://github.com/findmyway', 'https://github.com/Anonymitaet', 'https://github.com/Mia-xia']","['https://github.com/ZhaoFancy', 'https://github.com/findmyway', 'https://github.com/Anonymitaet', 'https://github.com/Mia-xia']",4
1-800-BAD-CODE_XLM-ROBERTA,"['https://github.com/Unknown', 'https://github.com/1-800-BAD-CODE']",['https://github.com/1-800-BAD-CODE'],['https://github.com/1-800-BAD-CODE'],1
42dot_42DOT-LLM,"['https://github.com/shyram', 'https://github.com/skdirwj', 'https://github.com/blueworm7', 'https://github.com/Unknown', 'https://github.com/likejazz']",['https://github.com/wangcho2k'],[],0
AnnaWegmann_Style-Embedding,"['https://github.com/Unknown', 'https://github.com/AnnaWegmann']",['https://github.com/AnnaWegmann'],['https://github.com/AnnaWegmann'],1
BAAI_bge,"['https://github.com/ZhengLiu101', 'https://github.com/qratosone', 'https://github.com/staoxiao', 'https://github.com/khazic', 'https://github.com/YingchaoX', 'https://github.com/chinainfant', 'https://github.com/JamesJang26', 'https://github.com/blue-vision0', 'https://github.com/ayushrakesh', 'https://github.com/fengsxy', 'https://github.com/545999961', 'https://github.com/yzhliu', 'https://github.com/fcakyon', 'https://github.com/ftgreat', 'https://github.com/namespace-Pt', 'https://github.com/rainym00d', 'https://github.com/NLPJCL', 'https://github.com/wuji3', 'https://github.com/ng-fukgin', 'https://github.com/suravshresth', 'https://github.com/tpoisonooo', 'https://github.com/hotchpotch', 'https://github.com/Muennighoff', 'https://github.com/muazhari', 'https://github.com/MeTaNoV', 'https://github.com/luxuantao', 'https://github.com/zh217', 'https://github.com/JUNJIE99', 'https://github.com/shtdbb', 'https://github.com/shuyansy', 'https://github.com/Damian89', 'https://github.com/Kalyanimhala', 'https://github.com/harshhere905', 'https://github.com/Unknown', 'https://github.com/nntoan209', 'https://github.com/eltociear', 'https://github.com/startnew', 'https://github.com/ycjcl868', 'https://github.com/mxchinegod', 'https://github.com/neofung', 'https://github.com/hanhainebula', 'https://github.com/luisegarduno', 'https://github.com/userz', 'https://github.com/Shivam250702', 'https://github.com/ccs96307', 'https://github.com/ZiyiXia', 'https://github.com/huniu20', 'https://github.com/CopyNinja1999']","['https://github.com/staoxiao', 'https://github.com/zacliu2023', 'https://github.com/ftgreat', 'https://github.com/shunxing1234', 'https://github.com/isuco']","['https://github.com/ftgreat', 'https://github.com/staoxiao']",2
BM-K_RoBERTa,['https://github.com/BM-K'],['https://github.com/BM-K'],['https://github.com/BM-K'],1
Babelscape_rebel,"['https://github.com/g185', 'https://github.com/fcecconi', 'https://github.com/framolfese']",['https://github.com/PereLluis13'],[],0
Babelscape_wikineural,['https://github.com/sted97'],['https://github.com/sted97'],['https://github.com/sted97'],1
CAMeL-Lab_bert,['https://github.com/balhafni'],"['https://github.com/patrickvonplaten', 'https://github.com/balhafni', 'https://github.com/go-inoue']",['https://github.com/balhafni'],1
CohereForAI_aya,"['https://github.com/tomtobac', 'https://github.com/BeatrixCohere', 'https://github.com/scottmx81', 'https://github.com/dependabot[bot]', 'https://github.com/chantelle-cohere', 'https://github.com/misspia-cohere', 'https://github.com/acanis', 'https://github.com/giannis2two', 'https://github.com/AidanCooper', 'https://github.com/iFurySt', 'https://github.com/vadirajkrishna', 'https://github.com/miguelvr', 'https://github.com/ryuzio', 'https://github.com/lusmoura', 'https://github.com/cobohdan', 'https://github.com/GangGreenTemperTatum', 'https://github.com/wujessica', 'https://github.com/abimacarmes', 'https://github.com/WarpWing', 'https://github.com/EugeneLightsOn', 'https://github.com/sanal-cohere', 'https://github.com/tianjing-li', 'https://github.com/ai-yann', 'https://github.com/elaineg', 'https://github.com/amorisot', 'https://github.com/Unknown', 'https://github.com/eltociear', 'https://github.com/lakshyaag', 'https://github.com/billytrend-cohere', 'https://github.com/mkozakov', 'https://github.com/DennisAumiller', 'https://github.com/knajjars', 'https://github.com/mauro-schilman', 'https://github.com/mtanzim', 'https://github.com/malexw', 'https://github.com/tanzimCohere', 'https://github.com/scott-cohere', 'https://github.com/raphael-cohere', 'https://github.com/lx-0', 'https://github.com/KevinLuong96', 'https://github.com/danylo-boiko']","['https://github.com/marziehf', 'https://github.com/saurabhdash', 'https://github.com/shivalikasingh95', 'https://github.com/viraat', 'https://github.com/alexrs', 'https://github.com/sarahooker']",[],0
Davlan_multilingual,['https://github.com/dadelani'],['https://github.com/dadelani'],['https://github.com/dadelani'],1
DeepPavlov_rubert,"['https://github.com/p-rdx', 'https://github.com/AndriiHura', 'https://github.com/shuu01', 'https://github.com/ms-Ana', 'https://github.com/RafilGalimzyanov', 'https://github.com/RomanMatiiv', 'https://github.com/naloaty', 'https://github.com/highly-available-man', 'https://github.com/danielkornev', 'https://github.com/nstsj', 'https://github.com/danchern97', 'https://github.com/zucchini-nlp', 'https://github.com/Kpetyxova', 'https://github.com/EgSergeenko', 'https://github.com/dmitrymailk', 'https://github.com/IgnatovFedor', 'https://github.com/smilni', 'https://github.com/Aloriosa', 'https://github.com/mtalimanchuk', 'https://github.com/moon-strider', 'https://github.com/fedyaryabov', 'https://github.com/Kolpnick', 'https://github.com/dmitrijeuseew', 'https://github.com/yashkens', 'https://github.com/theanhle', 'https://github.com/my-master', 'https://github.com/pansershrek', 'https://github.com/akalmanbay', 'https://github.com/PeganovAnton', 'https://github.com/NeoIsALie', 'https://github.com/Unknown', 'https://github.com/yurakuratov', 'https://github.com/kudep', 'https://github.com/annakorz', 'https://github.com/Ramimashkouk', 'https://github.com/litinsky', 'https://github.com/dimakarp1996', 'https://github.com/vkmbox', 'https://github.com/acriptis', 'https://github.com/ciwwwnd', 'https://github.com/iManOfSteel', 'https://github.com/elenaermakova', 'https://github.com/oserikov', 'https://github.com/glotars', 'https://github.com/skumeyko', 'https://github.com/dilyararimovna', 'https://github.com/ruthenian8', 'https://github.com/NickVolynkin', 'https://github.com/duny-explorer', 'https://github.com/sld']","['https://github.com/patrickvonplaten', 'https://github.com/julien-c']",[],0
Dongjin-kr_ko-reranker,"['https://github.com/hyeonsangjeon', 'https://github.com/sailtothemoon', 'https://github.com/missflash', 'https://github.com/dependabot[bot]', 'https://github.com/mullue', 'https://github.com/Pulkit-100', 'https://github.com/ottlseo', 'https://github.com/jamiekang', 'https://github.com/serithemage', 'https://github.com/dongjin-ml', 'https://github.com/jihys', 'https://github.com/youngjoon-dl', 'https://github.com/seungwon2', 'https://github.com/daekeun-ml', 'https://github.com/HyeryeongJoo', 'https://github.com/hyun0131', 'https://github.com/gonsoomoon-ml', 'https://github.com/gallicize', 'https://github.com/jesamkim', 'https://github.com/comeddy', 'https://github.com/hyogrin', 'https://github.com/Unknown', 'https://github.com/pilhokim', 'https://github.com/jpeddicord', 'https://github.com/seongshj', 'https://github.com/yeonuk-lim', 'https://github.com/leesjpe']",['https://github.com/dongjin-ml'],['https://github.com/dongjin-ml'],1
Efficient-Large-Model_VILA,"['https://github.com/hongxuyin', 'https://github.com/Lyken17', 'https://github.com/songhan', 'https://github.com/Xiuyu-Li', 'https://github.com/Unknown', 'https://github.com/eltociear', 'https://github.com/yukang2017', 'https://github.com/DachengLi1', 'https://github.com/yaolug', 'https://github.com/Qinghao-Hu', 'https://github.com/Efficient-Large-Language-Model', 'https://github.com/meenchen']",['https://github.com/Lyken17'],['https://github.com/Lyken17'],1
