owner,model_name,family,downloads,likes,created_at_main,last_modified_main,age,adoption,library_name,pipeline_tag,cleaned_github,model_size_million_bytes,previous_size_category,agg_size,size_category,lag,transient,name,whichstop,Jimmy,Adekunle
allenai,allenai/specter,allenai_unifiedqa,17205,38,4/23/2022,10/3/2022,851,20.2173913,transformers,text2text-generation,https://github.com/allenai/unifiedqa,6888.095744,large,6888.095744,large,downstream,asymmetric pattern,Asymmetric ,,,
allenai,allenai/unifiedqa-t5-small,allenai_unifiedqa,12559,59,12/14/2023,12/19/2023,251,50.03585657,transformers,feature-extraction,https://github.com/allenai/unifiedqa,6888.095744,large,6888.095744,large,downstream,asymmetric pattern,Asymmetric ,,,
allenai,allenai/unifiedqa-v2-t5-3b-1363200,allenai_unifiedqa,12271,9,12/14/2023,12/19/2023,251,48.88844622,transformers,text-generation,https://github.com/allenai/unifiedqa,6888.095744,large,6888.095744,large,downstream,asymmetric pattern,Asymmetric ,,,
allenai,allenai/unifiedqa-v2-t5-large-1363200,allenai_unifiedqa,10912,8,12/14/2023,12/18/2023,251,43.47410359,transformers,text-generation,https://github.com/allenai/unifiedqa,6888.095744,large,6888.095744,large,downstream,asymmetric pattern,Asymmetric ,,,
cointegrated,cointegrated/rubert-tiny2,cointegrated_rubert,460133,82,10/24/2023,1/25/2024,302,1523.619205,sentence-transformers,sentence-similarity,https://github.com/avidale/avidale,29.37855,small,29.37855,small,downstream,asynchronous activity pattern,Async-activity ,,,
csebuetnlp,csebuetnlp/banglat5_nmt_bn_en,csebuetnlp_banglat5,20356,4,6/6/2022,8/21/2022,807,25.22428748,transformers,translation,https://github.com/csebuetnlp/banglanmt,0,unknown,0,unknown,downstream,asynchronous activity pattern,Async-activity ,,,
dandelin,dandelin/vilt-b32-mlm,dandelin_vilt,12012,9,3/2/2022,7/6/2022,903,13.30232558,transformers,fill-mask,https://github.com/dandelin/ViLT,3200,medium,3200,medium,downstream,asynchronous activity pattern,Async-activity ,,,
alisawuffles,alisawuffles/roberta-large-wanli,alisawuffles_roberta,146838,7,3/30/2022,6/14/2023,875,167.8148571,transformers,text-classification,https://github.com/alisawuffles/wanli,355.363333,medium,355.363333,medium,none,asynchronous activity pattern,Async-activity ,,,
Davlan,Davlan/bert-base-multilingual-cased-ner-hrl,Davlan_multilingual,155774,61,10/22/2023,10/22/2023,304,512.4144737,transformers,token-classification,https://github.com/dadelani/africanlp-resources,0,unknown,67.3705005,small,none,asynchronous activity pattern,Async-activity ,,,
Davlan,Davlan/distilbert-base-multilingual-cased-ner-hrl,Davlan_multilingual,42255,79,8/25/2022,8/25/2022,727,58.12242091,transformers,token-classification,https://github.com/dadelani/africanlp-resources,134.741001,small,67.3705005,small,none,asynchronous activity pattern,Async-activity ,,,
